Tool,Article_Questions,Github_Readme_Questions,Github_Questions,Python_Questions,PDF_Questions,R_Questions,Website_Merged_Questions,Website_All_Questions,Total_Questions
AllWebsiteQuestions,0,0,0,0,0,0,0,0,0
Anno-Pred,100,100,0,765,0,0,0,0,965
BOLT-LMM,100,100,50,0,100,0,50,0,400
CTPR,100,100,60,0,0,100,60,0,420
CTSLEB,0,100,39,0,0,100,39,0,278
DBSLMM,100,100,14,0,0,100,14,0,328
EB-PRS,100,100,50,0,100,100,50,0,500
GCTA,100,100,60,0,300,0,60,19204,19824
GEMMA-LM,100,100,41,0,100,0,41,0,382
HAIL,0,100,51,0,0,0,51,0,202
JAMPred,100,100,50,0,0,100,50,0,400
LDAK,100,100,104,0,0,0,104,0,408
LDpred-gibbs,101,100,94,2294,0,0,94,0,2683
MTG2,100,100,50,0,0,0,50,0,300
NPS,100,100,76,0,0,100,76,0,452
PANPRS,100,100,61,0,0,100,61,0,422
PRSbils,0,100,114,900,0,0,114,0,1228
PRScs,100,100,87,368,0,0,87,0,742
PRScsx,100,100,10,500,0,0,10,0,720
PRSice-2,90,100,0,0,0,100,0,2153,2443
Pleio-Pred,100,100,0,700,0,0,0,0,900
Plink,100,100,50,0,601,0,50,0,901
PolyPred,100,100,50,2500,0,0,50,0,2800
RapidoPGS-single,0,100,88,0,100,100,88,0,476
SBayesR,0,0,0,0,0,0,0,4080,4080
SBayesRC,100,100,158,0,0,100,158,3929,4545
SDPR,0,100,0,0,0,0,0,0,100
Samtools,100,100,72,0,100,0,72,0,444
lassosum,100,100,0,0,0,0,0,0,200
ldpred-funct,100,100,0,554,0,0,0,0,754
ldpred2_inf,100,100,150,0,0,300,150,0,800
smtpred,100,100,71,300,0,0,71,0,642
tlpSum,100,100,53,0,0,100,53,0,406
viprs-grid,0,100,50,2181,0,0,50,0,2381
